,Geo ID,State,Total w/ Degree,"Computers, Mathematics and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,All Other
0,0400000US01,Alabama,885357,35624,51733,25051,19816,38296,23607,28095,62325
1,0400000US02,Alaska,146157,5132,14014,8095,6401,8636,4790,3311,11628
2,0400000US04,Arizona,1492158,68464,92835,44408,51202,61374,55900,56241,93000
3,0400000US05,Arkansas,475367,19902,35631,12201,14045,22599,14528,14656,29757
4,0400000US06,California,9428484,533563,636542,291237,461068,507152,513369,416285,518193
5,0400000US08,Colorado,1695602,81960,121643,63542,74799,72658,75553,76994,93470
6,0400000US09,Connecticut,994548,41272,53696,31605,57309,51834,46687,34873,55960
7,0400000US10,Delaware,228199,9812,13554,7222,9255,13518,6268,6482,17521
8,0400000US11,District of Columbia,301429,9934,16637,7063,21617,28549,11450,16804,11823
9,0400000US12,Florida,4753637,191974,243513,126992,154164,189883,152511,173690,283237
10,0400000US13,Georgia,2301568,124701,128830,54206,75164,94921,81530,96942,140791
11,0400000US15,Hawaii,335209,15040,23754,9490,14693,13770,11211,12025,19634
12,0400000US16,Idaho,336655,10528,32895,11349,14426,13161,11985,11790,23374
13,0400000US17,Illinois,3108972,156369,180194,88587,122567,139093,132550,148638,172648
14,0400000US18,Indiana,1212826,49886,72863,37911,34598,69659,34479,44897,78250
15,0400000US19,Iowa,622253,24628,57474,14677,19424,27173,21181,24830,39368
16,0400000US20,Kansas,652489,24336,53124,15364,21826,26136,23081,26925,42280
17,0400000US21,Kentucky,765923,26153,51432,21425,27008,39530,25011,31708,60174
18,0400000US22,Louisiana,784275,24955,52393,25341,22028,59525,22823,24031,48923
19,0400000US23,Maine,328999,8894,28883,8495,23182,19947,17623,11315,19726
20,0400000US24,Maryland,1710230,117239,119887,58139,80202,81313,64515,63695,96736
21,0400000US25,Massachusetts,2181743,112032,153508,71662,128650,114489,95188,77026,112872
22,0400000US26,Michigan,2070795,76136,123429,61215,72960,80733,64460,77595,136808
23,0400000US27,Minnesota,1433226,65522,107878,38694,59231,55395,57302,61426,87269
24,0400000US28,Mississippi,441751,12446,33943,12018,10597,15766,12532,10574,34508
25,0400000US29,Missouri,1271281,52555,92495,33753,35792,58262,45318,55243,81703
26,0400000US30,Montana,249148,6884,33062,9455,8821,11592,8180,6274,15876
27,0400000US31,Nebraska,422587,13928,34367,12511,10460,16541,11689,17360,35153
28,0400000US32,Nevada,548919,19273,29915,19817,18855,20841,20847,21747,40366
29,0400000US33,New Hampshire,368237,18836,24473,10636,18924,18552,13898,13742,19256
30,0400000US34,New Jersey,2551765,152176,138208,94859,108264,113738,101058,101822,116345
31,0400000US35,New Mexico,394598,13901,31403,17509,18009,19901,19950,10548,24762
32,0400000US36,New York,5166218,240853,261573,148056,292677,282432,339710,222660,249560
33,0400000US37,North Carolina,2321185,107169,152899,74546,90672,110213,82854,90190,160513
34,0400000US38,North Dakota,153397,5289,15838,2466,3027,5288,2731,3981,12103
35,0400000US39,Ohio,2356585,96692,139443,72732,81047,98607,91199,94016,133277
36,0400000US40,Oklahoma,686509,20349,52325,21219,18459,27390,20795,23205,46370
37,0400000US41,Oregon,1032316,38061,94977,46825,57307,60502,56427,42320,47872
38,0400000US42,Pennsylvania,2917402,129379,184663,87264,119737,132188,111009,121982,174436
39,0400000US44,Rhode Island,260275,10366,16536,6447,15617,13186,12447,7774,18743
40,0400000US45,South Carolina,1054559,36441,61026,31180,35950,50908,32947,31913,65673
41,0400000US46,South Dakota,174784,5449,17529,3585,3781,6274,4200,4957,11628
42,0400000US47,Tennessee,1348224,48757,91970,43489,38357,62278,55149,56287,92178
43,0400000US48,Texas,5776533,286344,352620,192914,176640,231882,170620,225185,357661
44,0400000US49,Utah,664661,34002,38255,16903,32422,23098,24721,29797,55252
45,0400000US50,Vermont,172272,5542,14765,4752,13239,11509,11256,3919,10194
46,0400000US51,Virginia,2325070,154800,137756,72287,118487,134840,81377,78742,143935
47,0400000US53,Washington,1955632,127606,145630,65959,97894,96852,88818,75607,104763
48,0400000US54,West Virginia,269706,8298,19925,8941,7050,11904,7509,7046,17412
49,0400000US55,Wisconsin,1258379,46206,106164,34503,42283,47611,45318,52692,79211
50,0400000US56,Wyoming,113557,2944,12135,6186,3115,4323,3850,2382,7283
