,State,Employment,"Employment per 1,000 Jobs",Annual Median Wage,Annual 10th Percentile Wage,Annual 25th Percentile Wage,Annual 75th Percentile Wage,Annual 90th Percentile Wage,Population 25+ with Bachelors,"Employment per 1,000 People 25+ with Bachelors"
0,Alabama,         210,       0.113,       90590,       56510,       74460,      105650,      121870,885357.0,0.2371924545691738
1,Alaska,         170,       0.561,       74110,       53720,       61780,       90980,      103100,146157.0,1.1631327955554642
2,Arizona,        1400,       0.494,      111900,       61290,       87430,      130240,      153540,1492158.0,0.9382384439181374
3,Arkansas,         260,       0.217,      109020,       80310,       94250,      134290,      160980,475367.0,0.5469458334297501
4,California,        9510,       0.579,      127310,       69340,       87940,      162630,      197890,9428484.0,1.0086457165330078
5,Colorado,        1260,       0.489,       92320,       53780,       69400,      121000,      151940,1695602.0,0.7430989111831667
6,Connecticut,         860,       0.556,       96320,       45950,       69940,      119420,      141800,994548.0,0.8647144230343835
7,District of Columbia,         590,       0.858,       99240,       67190,       79860,      131780,      159550,228199.0,2.585462688267696
8,Florida,        2430,       0.288,       85540,       51600,       59720,      118450,      144390,301429.0,8.061599912417186
9,Georgia,        2310,       0.536,       85600,       39100,       56010,      113170,      139990,4753637.0,0.4859437100476961
10,Hawaii,          50,       0.087,       66410,       35030,       38730,      116970,      150150,2301568.0,0.02172432011567766
11,Idaho,          80,       0.105,       93250,       56150,       70530,      112750,      141270,335209.0,0.2386570766298041
12,Illinois,        3290,       0.585,       96500,       56100,       73810,      124740,      154010,336655.0,9.772615882728608
13,Indiana,        1070,       0.365,       76920,       42880,       56420,      103010,      125760,3108972.0,0.34416520959339614
14,Iowa,         720,       0.488,       94230,       65090,       76700,      112470,      132440,1212826.0,0.5936548194052569
15,Kansas,         320,       0.237,       84780,       37700,       67140,      106000,      136670,622253.0,0.5142602767684527
16,Kentucky,         600,       0.338,       67010,       39090,       52100,       98420,      131580,652489.0,0.9195557319740256
17,Louisiana,         140,       0.075,       67680,       39370,       52910,       94530,      124460,765923.0,0.1827859980703021
18,Maine,         260,       0.446,       75930,       52030,       59510,       96250,      113120,784275.0,0.33151636862070066
19,Maryland,        1890,       0.749,      106190,       60070,       82480,      132760,      164360,328999.0,5.7446983121529245
20,Massachusetts,        1060,       0.318,      108790,       69130,       82960,      132760,      171460,1710230.0,0.6197996760669617
21,Michigan,        1940,       0.494,       74730,       46570,       55500,       96960,      120250,2181743.0,0.8891973069238677
22,Minnesota,         950,       0.351,       97170,       65300,       80180,      117730,      138520,2070795.0,0.4587610072460094
23,Mississippi,          70,       0.062,       56440,       31200,       31510,       83620,      111260,1433226.0,0.048840866688156646
24,Missouri,         970,       0.360,       96730,       56070,       73210,      122430,      163290,441751.0,2.1958071402215276
25,Montana,          40,       0.090,       86060,       47490,       71510,      103290,      119270,1271281.0,0.031464326140326175
26,Nebraska,         370,       0.389,       50530,       33940,       41830,       81480,      115690,249148.0,1.4850610881885464
27,Nevada,         160,       0.127,      107170,       68540,       86250,      132860,      175880,422587.0,0.3786202604434117
28,New Hampshire,         140,       0.220,       95870,       65320,       76730,      120920,      140140,548919.0,0.25504673731461286
29,New Jersey,        1770,       0.469,      113050,       68710,       88280,      139620,      171830,368237.0,4.806686997775889
30,New York,        3950,       0.454,      118310,       56590,       85020,      158390,      197170,2551765.0,1.5479481848837962
31,North Carolina,        2340,       0.546,      109930,       67820,       85210,      143350,      176230,394598.0,5.930085808848499
32,Ohio,        2390,       0.466,       80680,       48730,       62970,      101950,      128710,5166218.0,0.46262081855624365
33,Oklahoma,         870,       0.559,       64880,       42110,       53190,       86940,      108660,2321185.0,0.3748085568362711
34,Oregon,         740,       0.408,       82950,       48310,       62280,      108830,      131350,153397.0,4.824083912983957
35,Pennsylvania,        1940,       0.352,       74510,       42910,       54270,      100990,      130270,2356585.0,0.8232251329784412
36,Rhode Island,         250,       0.569,       88650,       40520,       70070,      109730,      134240,686509.0,0.36416128557673677
37,South Carolina,         110,       0.055,       57150,       38130,       40570,      101040,      137710,1032316.0,0.1065565195153422
38,South Dakota,          50,       0.131,       76440,       44920,       58230,      101600,      119500,2917402.0,0.017138536273026483
39,Tennessee,        1280,       0.440,       78750,       52550,       61410,      108640,      135860,260275.0,4.917875324176352
40,Texas,        4310,       0.356,      101410,       64380,       83390,      125220,      153660,1054559.0,4.087016468495361
41,Utah,         400,       0.268,       75980,       39910,       52980,      100110,      131020,174784.0,2.288538996704504
42,Virginia,        2450,       0.661,       92410,       45650,       68500,      126640,      170760,1348224.0,1.8172054495395424
43,Washington,        2610,       0.816,      117260,       61120,       85670,      147150,      176650,5776533.0,0.45182811212192503
44,West Virginia,         140,       0.220,       63030,       45380,       55540,       91090,      123740,664661.0,0.2106336914607597
45,Wisconsin,         760,       0.280,       81810,       42380,       64450,      100020,      124650,172272.0,4.411628122968329
